Date,Block,Primary Type,Description,Location Description,Ward,Community Area,Year,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
06/01/2019 12:15:00 AM,054XX N MEADE AVE,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,45,11,2019,"(41.97963426, -87.780894632)",20,21869,11,779,50,48,12,43
05/31/2019 10:30:00 PM,081XX S VERNON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6,44,2019,"(41.746895008, -87.61359861)",31,21546,40,11,32,61,20,235
05/31/2019 10:00:00 PM,048XX S CHAMPLAIN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,4,38,2019,"(41.807206604, -87.610154663)",1,21192,4,165,10,10,24,116
05/31/2019 08:30:00 PM,075XX S WOLCOTT AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,17,71,2019,"(41.756641566, -87.670884267)",6,21554,70,573,31,59,20,231
05/31/2019 08:30:00 PM,009XX S STATE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,4,32,2019,"(41.870366594, -87.627488753)",48,14913,38,12,10,35,22,144
05/31/2019 08:00:00 PM,023XX W 103RD ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,19,72,2019,"(41.706400786, -87.679405816)",33,22212,71,629,42,13,9,257
05/31/2019 07:10:00 PM,047XX W HARRISON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,24,25,2019,"(41.873166103, -87.744390423)",36,22216,26,61,14,32,16,143
05/31/2019 07:00:00 PM,005XX E 33RD PL,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,4,35,2019,"(41.83367965, -87.612627151)",1,21194,1,581,10,40,24,169
05/31/2019 07:00:00 PM,012XX N DAMEN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1,24,2019,"(41.903422497, -87.677263369)",24,21560,25,481,41,4,7,200
05/31/2019 06:45:00 PM,029XX S ARCHER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,11,60,2019,"(41.841216213, -87.658848924)",26,14920,58,723,48,43,23,162
